Time,Athlete,DOB,Country,Country Code,Date,HoldingPeriod
10.49,Florence GRIFFITH-JOYNER,21-Dec-59,USA,USAUSA,16 July 1988,35.89
10.76,Evelyn ASHFORD,15-Apr-57,USA,USAUSA,22 August 1984,3.9
10.79,Evelyn ASHFORD,15-Apr-57,USA,USAUSA,03 July 1983,1.14
10.81,Marlies GUHR,21-Mar-58,GDR,GDRGDR,08 June 1983,0.07
10.88,Marlies GUHR,21-Mar-58,GDR,GDRGDR,09 July 1982,0.92
10.88,Marlies OELSNER,21-Mar-58,GDR,GDRGDR,01 July 1977,5.02
11.01,Annegret RICHTER,13-Oct-50,FRG,FRGFRG,25 July 1976,0.93
11.04,Ingeborg HELTEN,31-Dec-50,FRG,FRGFRG,13 June 1976,0.12
11.07,Renate STECHER,12-May-50,GDR,GDRGDR,02 September 1972,3.78
11.08,Wyomia TYUS,29-Aug-45,USA,USAUSA,15 October 1968,3.88
11.2,Irena SZEWI_SKA,24-May-46,POL,POLPOL,14 October 1968,0
11.1,Lyudmila SAMOTYOSOVA,26-Oct-39,URS,URSURS,15 August 1968,0.16
11.1,Barbara FERRELL,28-Jul-47,USA,USAUSA,02 July 1967,1.12
11.1,Wyomia TYUS,29-Aug-45,USA,USAUSA,31 July 1965,1.92
11.1,Irena KIRSZENSTEIN,24-May-46,POL,POLPOL,09 July 1965,0.06
11.2,Wyomia TYUS,29-Aug-45,USA,USAUSA,15 October 1964,0.73
11.2,Wilma RUDOLPH,23-Jun-40,USA,USAUSA,19 July 1961,3.24
11.3,Wilma RUDOLPH,23-Jun-40,USA,USAUSA,02 September 1960,0.88
11.3,Vera KREPKINA,15-Apr-33,URS,URSURS,13 September 1958,1.97
11.3,Shirley STRICKLAND,18-Jul-25,AUS,AUSAUS,04 August 1955,3.11
11.4,Marjorie JACKSON,13-Sep-31,AUS,AUSAUS,04 October 1952,2.83
11.5,Marjorie JACKSON,13-Sep-31,AUS,AUSAUS,22 July 1952,0.2
11.5,Fanny BLANKERS-KOEN,26-Apr-18,NED,NEDNED,13 June 1948,4.11
11.6,Stanis_awa WALASIEWICZ,03-Apr-11,POL,POLPOL,01 August 1937,10.87
11.6,Helen STEPHENS,03-Feb-18,USA,USAUSA,08 June 1935,2.15
11.7,Stanis_awa WALASIEWICZ,03-Apr-11,POL,POLPOL,26 August 1934,0.78
11.8,Stanis_awa WALASIEWICZ,03-Apr-11,POL,POLPOL,17 September 1933,0.94
11.9,Stanis_awa WALASIEWICZ,03-Apr-11,POL,POLPOL,01 August 1932,1.13
11.9,Tollien SCHUURMAN,20-Jan-13,NED,NEDNED,05 June 1932,0.16
12,Tollien SCHUURMAN,20-Jan-13,NED,NEDNED,31 August 1930,1.76
12,Myrtle COOK,05-Jan-02,CAN,CANCAN,02 July 1928,2.16
12.2,Kinue HITOMI,1907,JPN,JPNJPN,20 May 1928,0.12
12.4,Gundel WITTMANN,18-Sep-05,GER,GERGER,22 August 1926,1.75
12.8,Mary LINES,03 DEC 1893,GBR,GBRGBR,20 August 1922,4.01
13.6,Marie MEJZLIKOVO II,13-Dec-03,TCH,TCHTCH,05 August 1922,0.04
