Height,Athlete,DOB,Country,Country Code,Date,HoldingPeriod
2.09,Stefka KOSTADINOVA,25-Mar-65,BUL,BULBUL,30 August 1987,36.85
2.08,Stefka KOSTADINOVA,25-Mar-65,BUL,BULBUL,31 May 1986,1.25
2.07,Stefka KOSTADINOVA,25-Mar-65,BUL,BULBUL,25 May 1986,0.02
2.07,Lyudmila ANDONOVA,06-May-60,BUL,BULBUL,20 July 1984,1.85
2.05,Tamara BYKOVA,21-Dec-58,URS,URSURS,22 June 1984,0.08
2.04,Tamara BYKOVA,21-Dec-58,URS,URSURS,25 August 1983,0.83
2.03,Tamara BYKOVA,21-Dec-58,URS,URSURS,21 August 1983,0.01
2.03,Ulrike MEYFARTH,04-May-56,FRG,FRGFRG,21 August 1983,0
2.02,Ulrike MEYFARTH,04-May-56,FRG,FRGFRG,08 September 1982,0.95
2.01,Sara SIMEONI,19-Apr-53,ITA,ITAITA,31 August 1978,4.02
2.01,Sara SIMEONI,19-Apr-53,ITA,ITAITA,04 August 1978,0.07
2,Rosemarie ACKERMANN,04-Apr-52,GDR,GDRGDR,26 August 1977,0.94
1.97,Rosemarie ACKERMANN,04-Apr-52,GDR,GDRGDR,26 August 1977,0
1.97,Rosemarie ACKERMANN,04-Apr-52,GDR,GDRGDR,14 August 1977,0.03
1.96,Rosemarie ACKERMANN,04-Apr-52,GDR,GDRGDR,03 July 1977,0.12
1.96,WITSCHAS-ACKERMANN,04-Apr-52,GDR,GDRGDR,08 May 1976,1.15
1.95,Rosemary WITSCHAS,04-Apr-52,GDR,GDRGDR,08 September 1974,1.67
1.94,Rosemary WITSCHAS,04-Apr-52,GDR,GDRGDR,24 August 1974,0.04
1.94,Yordanka BLAGOYEVA,19-Jan-47,BUL,BULBUL,24 September 1972,1.92
1.92,Ulrike MEYFARTH,04-May-56,FRG,FRGFRG,04 September 1972,0.05
1.92,Ilona GUSENBAUER,16-Sep-47,AUT,AUTAUT,04 September 1971,1
1.91,Iolanda BALA_,12-Dec-36,ROU,ROUROU,16 July 1961,10.14
1.9,Iolanda BALA_,12-Dec-36,ROU,ROUROU,08 July 1961,0.02
1.88,Iolanda BALA_,12-Dec-36,ROU,ROUROU,18 June 1961,0.05
1.87,Iolanda BALA_,12-Dec-36,ROU,ROUROU,15 April 1961,0.18
1.86,Iolanda BALA_,12-Dec-36,ROU,ROUROU,10 July 1960,0.76
1.85,Iolanda BALA_,12-Dec-36,ROU,ROUROU,06 June 1960,0.09
1.84,Iolanda BALA_,12-Dec-36,ROU,ROUROU,21 September 1959,0.71
1.83,Iolanda BALA_,12-Dec-36,ROU,ROUROU,18 October 1958,0.93
1.82,Iolanda BALA_,12-Dec-36,ROU,ROUROU,04 October 1958,0.04
1.81,Iolanda BALA_,12-Dec-36,ROU,ROUROU,31 July 1958,0.18
1.8,Iolanda BALA_,12-Dec-36,ROU,ROUROU,22 June 1958,0.11
1.78,Iolanda BALA_,12-Dec-36,ROU,ROUROU,07 June 1958,0.04
1.77,Feng-jung CHENG,25-Mar-37,CHN,CHNCHN,17 November 1957,0.55
1.76,Iolanda BALA_,12-Dec-36,ROU,ROUROU,13 October 1957,0.1
1.76,Millie MCDANIEL,04-Nov-33,USA,USAUSA,01 December 1956,0.87
1.75,Iolanda BALA_,12-Dec-36,ROU,ROUROU,14 July 1956,0.38
1.74,Thelma HOPKINS,16-Mar-36,GBR,GBRGBR,05 May 1956,0.19
1.73,Aleksandra CHUDINA,06-Nov-23,URS,URSURS,22 May 1954,1.96
1.72,Sheila LERWILL,16-Aug-28,GBR,GBRGBR,07 July 1951,2.88
1.71,Fanny BLANKERS-KOEN,26-Apr-18,NED,NEDNED,30 May 1943,8.11
1.66,Ilsebill PFENNING,17-Aug-16,SUI,SUISUI,27 July 1941,1.84
1.66,Esther VAN HEERDEN,29-Sep-22,RSA,RSARSA,29 March 1941,0.33
1.66,Dorothy ODAM,14-Mar-20,GBR,GBRGBR,29 May 1939,1.84
1.65,Babe DIDRIKSEN,26-Jun-11,USA,USAUSA,07 August 1932,6.81
1.65,Jean SHILEY,20-Nov-11,USA,USAUSA,07 August 1932,0
1.62,Lien GISOLF,13-Jul-10,NED,NEDNED,12 June 1932,0.15
1.605,Lien GISOLF,13-Jul-10,NED,NEDNED,18 August 1929,2.82
1.595,Ethel CATHERWOOD,28-Apr-08,CAN,CANCAN,05 August 1928,1.04
1.58,Lien GISOLF,13-Jul-10,NED,NEDNED,03 July 1928,0.09
1.58,Ethel CATHERWOOD,28-Apr-08,CAN,CANCAN,06 September 1926,1.82
1.552,Phyllis GREEN,08-Feb-08,GBR,GBRGBR,02 August 1926,0.1
1.524,Phyllis GREEN,08-Feb-08,GBR,GBRGBR,11 July 1925,1.06
1.485,Sophie ELIOTT-LYNN,10 NOV 1896,GBR,GBRGBR,06 August 1923,1.93
1.485,Elizabeth STINE,05-Aug-05,USA,USAUSA,26 May 1923,0.2
1.46,Nancy VORHEES,04-Jan-06,USA,USAUSA,20 May 1922,1.02
