Distance,Athlete,DOB,Country,Country Code,Date,HoldingPeriod
7.52,Galina CHISTYAKOVA,26-Jul-62,URS,URSURS,11 June 1988,35.91
7.45,Galina CHISTYAKOVA,26-Jul-62,URS,URSURS,11 June 1988,0
7.45,Jackie JOYNER-KERSEE,03-Mar-62,USA,USAUSA,13 August 1987,0.83
7.45,Heike DRECHSLER,16-Dec-64,GDR,GDRGDR,03 July 1986,1.11
7.45,Heike DRECHSLER,16-Dec-64,GDR,GDRGDR,21 June 1986,0.03
7.44,Heike DRECHSLER,16-Dec-64,GDR,GDRGDR,22 September 1985,0.75
7.43,Ani_oara CU_MIR,28-Jun-62,ROU,ROUROU,04 June 1983,2.3
7.27,Ani_oara CU_MIR,28-Jun-62,ROU,ROUROU,04 June 1983,0
7.21,Ani_oara CU_MIR,28-Jun-62,ROU,ROUROU,15 May 1983,0.05
7.2,Valy IONESCU,31-Aug-60,ROU,ROUROU,01 August 1982,0.79
7.15,Ani_oara CU_MIR,28-Jun-62,ROU,ROUROU,01 August 1982,0
7.09,Vilma BARDAUSKIENE,15-Jun-53,URS,URSURS,29 August 1978,3.93
7.07,Vilma BARDAUSKIENE,15-Jun-53,URS,URSURS,18 August 1978,0.03
6.99,Sigrun SIEGL,29-Oct-54,GDR,GDRGDR,19 May 1976,2.25
6.92,Angela VOIGT,18-May-51,GDR,GDRGDR,09 May 1976,0.03
6.84,Heidemarie ROSENDAHL,14-Feb-47,FRG,FRGFRG,03 September 1970,5.68
6.82,Viorica VISCOPOLEANU,08-Aug-39,ROU,ROUROU,14 October 1968,1.89
6.76,Mary RAND,10-Feb-40,GBR,GBRGBR,14 October 1964,4
6.7,Tatyana SHCHELKANOVA,18-Apr-37,URS,URSURS,04 July 1964,0.28
6.53,Tatyana SHCHELKANOVA,18-Apr-37,URS,URSURS,10 June 1962,2.07
6.48,Tatyana SHCHELKANOVA,18-Apr-37,URS,URSURS,16 July 1961,0.9
6.42,Hildrun CLAUS,13-May-39,GDR,GDRGDR,23 June 1961,0.06
6.4,Hildrun CLAUS,13-May-39,GDR,GDRGDR,07 August 1960,0.88
6.35,El_bieta KRZESI_SKA,11-Nov-34,POL,POLPOL,27 November 1956,3.7
6.35,El_bieta KRZESI_SKA,11-Nov-34,POL,POLPOL,20 August 1956,0.27
6.31,Galina VINOGRADOVA,02-Jun-32,URS,URSURS,18 November 1955,0.76
6.28,Galina VINOGRADOVA,02-Jun-32,URS,URSURS,11 September 1955,0.19
6.28,Yvette WILLIAMS,25-Apr-29,NZL,NZLNZL,20 February 1954,1.56
6.25,Fanny BLANKERS-KOEN,26-Apr-18,NED,NEDNED,19 September 1943,10.43
6.12,Christel SCHULZ,06-Apr-21,GER,GERGER,30 July 1939,4.14
5.98,Kinue HITOMI,1907,JPN,JPNJPN,20 May 1928,11.2
5.575,Muriel GUNN,27-Sep-06,GBR,GBRGBR,01 August 1927,0.8
5.5,Kinue HITOMI,1907,JPN,JPNJPN,28 August 1926,0.93
5.485,Muriel GUNN,27-Sep-06,GBR,GBRGBR,02 August 1926,0.07
5.3,Marie MEJZLOKOVO II,13-Dec-03,TCH,TCHTCH,23 September 1923,2.86
5.16,Marie MEJZLOKOVO II,13-Dec-03,TCH,TCHTCH,06 August 1922,1.13
