Time,Athlete,DOB,Country,Country Code,Date,HoldingPeriod
9.58,Usain BOLT,21-Aug-86,JAM,JAMJAM,16 August 2009,14.78
9.69,Usain BOLT,21-Aug-86,JAM,JAMJAM,16 August 2008,1
9.72,Usain BOLT,21-Aug-86,JAM,JAMJAM,31 May 2008,0.21
9.74,Asafa POWELL,23-Nov-82,JAM,JAMJAM,09 September 2007,0.73
9.77,Asafa POWELL,23-Nov-82,JAM,JAMJAM,18 August 2006,1.06
9.77,Asafa POWELL,23-Nov-82,JAM,JAMJAM,11 June 2006,0.19
9.77,Asafa POWELL,23-Nov-82,JAM,JAMJAM,14 June 2005,0.99
9.79,Maurice GREENE,23-Jul-74,USA,USAUSA,16 June 1999,6
9.84,Donovan BAILEY,16-Dec-67,CAN,CANCAN,27 July 1996,2.89
9.85,Leroy BURRELL,21-Feb-67,USA,USAUSA,06 July 1994,2.06
9.86,Carl LEWIS,01-Jul-61,USA,USAUSA,25 August 1991,2.87
9.9,Leroy BURRELL,21-Feb-67,USA,USAUSA,14 June 1991,0.2
9.9,Charlie GREENE,21-Mar-45,USA,USAUSA,20 June 1968,23
9.9,Ronnie Ray SMITH,28-Mar-49,USA,USAUSA,20 June 1968,0
9.9,Jim HINES,10-Sep-46,USA,USAUSA,20 June 1968,0
9.95,Jim HINES,10-Sep-46,USA,USAUSA,20 June 1968,0
10,Roger BAMBUCK,22-Nov-45,FRA,FRAFRA,20 June 1968,0
10,Charlie GREENE,21-Mar-45,USA,USAUSA,20 June 1968,0
10,Oliver FORD,27-Mar-47,USA,USAUSA,31 May 1968,0.05
10,Paul NASH,20-Jan-47,RSA,RSARSA,02 April 1968,0.16
10,Enrique FIGUEROLA,15-Jul-38,CUB,CUBCUB,17 June 1967,0.79
10,Jim HINES,10-Sep-46,USA,USAUSA,27 May 1967,0.06
10,Bob HAYES,20-Dec-42,USA,USAUSA,15 October 1964,2.61
10,Horacio ESTEVES,06-Jul-41,VEN,VENVEN,15 August 1964,0.17
10,Harry JEROME,30-Sep-40,CAN,CANCAN,15 July 1960,4.09
10,Armin HARY,22-Mar-37,FRG,FRGFRG,21 June 1960,0.07
10.1,Ray NORTON,22-Sep-37,USA,USAUSA,18 April 1959,1.18
10.1,Leamon KING,13-Feb-36,USA,USAUSA,27 October 1956,2.47
10.1,Leamon KING,13-Feb-36,USA,USAUSA,20 October 1956,0.02
10.1,Ira MURCHISON,06-Feb-33,USA,USAUSA,04 August 1956,0.21
10.1,Willie WILLIAMS,12-Sep-31,USA,USAUSA,03 August 1956,0
10.2,Bobby Joe MORROW,15-Oct-35,USA,USAUSA,29 June 1956,0.1
10.2,Ira MURCHISON,06-Feb-33,USA,USAUSA,29 June 1956,0
10.2,Bobby Joe MORROW,15-Oct-35,USA,USAUSA,22 June 1956,0.02
10.2,Ira MURCHISON,06-Feb-33,USA,USAUSA,01 June 1956,0.06
10.2,Bobby Joe MORROW,15-Oct-35,USA,USAUSA,19 May 1956,0.04
10.2,Heinz FETTERER,14-Oct-31,FRG,FRGFRG,31 October 1954,1.55
10.2,McDonald BAILEY,08-Dec-20,GBR,GBRGBR,25 August 1951,3.19
10.2,Barney EWELL,25-Feb-18,USA,USAUSA,09 July 1948,3.13
10.2,Lloyd LABEACH,28-Jun-22,PAN,PANPAN,15 May 1948,0.15
10.2,Harold DAVIS,05-Jan-21,USA,USAUSA,06 June 1941,6.95
10.2,Jesse OWENS,12-Sep-13,USA,USAUSA,20 June 1936,4.96
10.3,Takayoshi YOSHIOKA,02-Jun-09,JPN,JPNJPN,15 June 1935,1.02
10.3,Ralph METCALFE,29-May-10,USA,USAUSA,23 September 1934,0.73
10.3,Ralph METCALFE,29-May-10,USA,USAUSA,15 September 1934,0.02
10.3,Christiaan BERGER,27-Apr-11,NED,NEDNED,26 August 1934,0.05
10.3,Eulace PEACOCK,27-Aug-14,USA,USAUSA,06 August 1934,0.05
10.3,Ralph METCALFE,29-May-10,USA,USAUSA,12 August 1933,0.98
10.3,Eddie TOLAN,29-Sep-08,USA,USAUSA,01 August 1932,1.03
10.3,Percy WILLIAMS,19-May-08,CAN,CANCAN,09 August 1930,1.98
10.4,Eddie TOLAN,29-Sep-08,USA,USAUSA,25 August 1929,0.96
10.4,Eddie TOLAN,29-Sep-08,USA,USAUSA,08 August 1929,0.05
10.4,Charley PADDOCK,11-Aug-00,USA,USAUSA,23 April 1921,8.3
10.6,Jackson SCHOLZ,15 MAR 1897,USA,USAUSA,16 September 1920,0.6
10.6,Donald LIPPINCOTT,16 NOV 1893,USA,USAUSA,06 July 1912,8.2
