Distance,Athlete,DOB,Country,Country Code,Date,HoldingPeriod
8.95,Mike POWELL,10-Nov-63,USA,USAUSA,30 August 1991,32.85
8.9,Bob BEAMON,29-Aug-46,USA,USAUSA,18 October 1968,22.88
8.35,Igor TER-OVANESYAN,19-May-38,URS,URSURS,19 October 1967,1
8.35,Ralph BOSTON,09-May-39,USA,USAUSA,29 May 1965,2.39
8.34,Ralph BOSTON,09-May-39,USA,USAUSA,12 September 1964,0.71
8.33,Phil SHINNICK,21-Apr-43,USA,USAUSA,25 May 1963,1.3
8.31,Igor TER-OVANESYAN,19-May-38,URS,URSURS,10 June 1962,0.96
8.28,Ralph BOSTON,09-May-39,USA,USAUSA,16 July 1961,0.9
8.24,Ralph BOSTON,09-May-39,USA,USAUSA,27 May 1961,0.14
8.21,Ralph BOSTON,09-May-39,USA,USAUSA,12 August 1960,0.79
8.13,Jesse OWENS,12-Sep-13,USA,USAUSA,25 May 1935,25.24
7.98,Chuhei NAMBU,04-May-04,JPN,JPNJPN,27 October 1931,3.58
7.93,Silvio CATOR,09-Oct-00,HAI,HAIHAI,09 September 1928,3.13
7.9,Ed HAMM,13-Apr-06,USA,USAUSA,07 July 1928,0.18
7.89,DeHart HUBBARD,25-Nov-03,USA,USAUSA,13 June 1925,3.07
7.76,Robert LEGENDRE,07 JAN 1898,USA,USAUSA,07 July 1924,0.93
7.69,Ned GOURDIN,10 AUG 1897,USA,USAUSA,23 July 1921,2.96
7.61,Peter O'CONNOR,18 OCT 1874,GBR,GBRGBR,05 August 1901,19.98
