slug_game,medal_type,country_name,country_3_letter_code
beijing-2022,GOLD,Italy,ITA
beijing-2022,GOLD,Italy,ITA
beijing-2022,SILVER,Norway,NOR
beijing-2022,SILVER,Norway,NOR
beijing-2022,BRONZE,Sweden,SWE
beijing-2022,BRONZE,Sweden,SWE
beijing-2022,GOLD,Great Britain,GBR
beijing-2022,SILVER,Japan,JPN
beijing-2022,BRONZE,Sweden,SWE
beijing-2022,GOLD,Sweden,SWE
beijing-2022,SILVER,Great Britain,GBR
beijing-2022,BRONZE,Canada,CAN
beijing-2022,SILVER,Canada,CAN
beijing-2022,GOLD,Sweden,SWE
beijing-2022,BRONZE,Japan,JPN
beijing-2022,GOLD,New Zealand,NZL
beijing-2022,SILVER,United States of America,USA
beijing-2022,BRONZE,United States of America,USA
beijing-2022,BRONZE,Sweden,SWE
beijing-2022,GOLD,Norway,NOR
beijing-2022,SILVER,United States of America,USA
beijing-2022,BRONZE,ROC,ROC
beijing-2022,SILVER,Switzerland,SUI
beijing-2022,GOLD,Switzerland,SUI
beijing-2022,BRONZE,Switzerland,SUI
beijing-2022,GOLD,People's Republic of China,CHN
beijing-2022,SILVER,France,FRA
beijing-2022,SILVER,United States of America,USA
beijing-2022,GOLD,Australia,AUS
beijing-2022,BRONZE,ROC,ROC
beijing-2022,GOLD,United States of America,USA
beijing-2022,SILVER,People's Republic of China,CHN
beijing-2022,BRONZE,Canada,CAN
beijing-2022,SILVER,Canada,CAN
beijing-2022,GOLD,Sweden,SWE
beijing-2022,BRONZE,Germany,GER
beijing-2022,BRONZE,ROC,ROC
beijing-2022,GOLD,People's Republic of China,CHN
beijing-2022,SILVER,Ukraine,UKR
beijing-2022,SILVER,Belarus,BLR
beijing-2022,GOLD,People's Republic of China,CHN
beijing-2022,BRONZE,United States of America,USA
beijing-2022,SILVER,Canada,CAN
beijing-2022,GOLD,People's Republic of China,CHN
beijing-2022,BRONZE,Canada,CAN
beijing-2022,SILVER,People's Republic of China,CHN
beijing-2022,GOLD,Switzerland,SUI
beijing-2022,BRONZE,Estonia,EST
beijing-2022,SILVER,United States of America,USA
beijing-2022,BRONZE,Sweden,SWE
beijing-2022,GOLD,United States of America,USA
beijing-2022,SILVER,Netherlands,NED
beijing-2022,BRONZE,Canada,CAN
beijing-2022,GOLD,Italy,ITA
beijing-2022,BRONZE,Canada,CAN
beijing-2022,GOLD,Hungary,HUN
beijing-2022,SILVER,ROC,ROC
beijing-2022,GOLD,Canada,CAN
beijing-2022,SILVER,Republic of Korea,KOR
beijing-2022,BRONZE,Italy,ITA
beijing-2022,GOLD,People's Republic of China,CHN
beijing-2022,SILVER,Italy,ITA
beijing-2022,BRONZE,Hungary,HUN
beijing-2022,BRONZE,ROC,ROC
beijing-2022,GOLD,Republic of Korea,KOR
beijing-2022,SILVER,Canada,CAN
beijing-2022,GOLD,People's Republic of China,CHN
beijing-2022,SILVER,People's Republic of China,CHN
beijing-2022,BRONZE,Hungary,HUN
beijing-2022,GOLD,Netherlands,NED
beijing-2022,SILVER,Republic of Korea,KOR
beijing-2022,BRONZE,People's Republic of China,CHN
beijing-2022,GOLD,Netherlands,NED
beijing-2022,SILVER,Republic of Korea,KOR
beijing-2022,BRONZE,Belgium,BEL
beijing-2022,GOLD,Republic of Korea,KOR
beijing-2022,BRONZE,Netherlands,NED
beijing-2022,SILVER,Italy,ITA
beijing-2022,SILVER,Spain,ESP
beijing-2022,BRONZE,Japan,JPN
beijing-2022,GOLD,United States of America,USA
beijing-2022,GOLD,United States of America,USA
beijing-2022,GOLD,United States of America,USA
beijing-2022,SILVER,Italy,ITA
beijing-2022,SILVER,Italy,ITA
beijing-2022,BRONZE,Canada,CAN
