Host,Games,Norway,France,Switzerland,United States,Germany,Italy,Japan,Austria,Yugoslavia,Canada,South Korea,China,Russia
France,1924,1,5,4,3,,,,3,,8,,,
Switzerland,1928,1,6,8,2,8,,,7,,5,,,
United States,1932,2,8,8,1,9,,,6,,4,,,
Germany,1936,1,9,5,6,2,,,6,,9,,,
None,1940,,,,,,,,,,,,,
None,1944,,,,,,,,,,,,,
Switzerland,1948,1,7,3,4,,10,,7,,6,,,
Norway,1952,1,11,11,2,4,6,,5,,6,,,
Italy,1956,7,,4,5,,8,11,2,,10,,,
United States,1960,4,9,8,2,,14,,9,,7,,,
Austria,1964,3,6,,8,,12,,2,,10,,,
France,1968,1,3,14,8,,4,,5,,13,,,
Japan,1972,7,12,3,6,,8,11,9,,17,,,
Austria,1976,4,14,8,3,,10,,7,,11,,,
United States,1980,8,14,10,3,,13,15,4,,14,,,
Yugoslavia,1984,6,11,7,4,,10,14,17,14,8,,,
Canada,1988,12,15,3,9,,10,16,6,14,13,,,
France,1992,3,7,14,6,1,6,11,4,,9,10,15,
Norway,1994,2,11,8,5,3,4,11,9,,7,6,19,1
Japan,1998,2,11,12,6,1,10,7,8,,4,9,16,3
United States,2002,1,8,11,2,2,7,21,10,,4,14,13,5
Italy,2006,13,12,8,2,1,9,18,3,,5,7,14,4
Canada,2010,4,12,6,1,2,16,20,9,,1,5,7,11
Russia,2014,2,10,7,2,6,22,17,9,,3,13,12,1
South Korea,2018,1,9,7,4,2,12,11,10,,3,7,16,
China,2022,1,10,8,4,2,13,12,7,,11,14,3,
