NOC,Year,Total_Gold,Total_Silver,Total_Bronze
AFG,2008,1275.0,1275.0,1199.0
AFG,2012,1275.0,1275.0,1199.0
AHO,1988,1275.0,1249.0,1275.0
ALG,1984,1051.0,1114.0,1105.0
ALG,1992,1051.0,1114.0,1105.0
ALG,1996,1051.0,1114.0,1105.0
ALG,2000,1051.0,1114.0,1105.0
ALG,2008,1051.0,1114.0,1105.0
ALG,2012,1051.0,1114.0,1105.0
ALG,2016,1051.0,1114.0,1105.0
ANZ,1908,861.0,1114.0,1158.0
ANZ,1912,861.0,1114.0,1158.0
ARG,1924,619.0,653.0,638.0
ARG,1928,619.0,653.0,638.0
ARG,1932,619.0,653.0,638.0
ARG,1936,619.0,653.0,638.0
ARG,1948,619.0,653.0,638.0
ARG,1952,619.0,653.0,638.0
ARG,1956,619.0,653.0,638.0
ARG,1960,619.0,653.0,638.0
ARG,1964,619.0,653.0,638.0
ARG,1968,619.0,653.0,638.0
ARG,1972,619.0,653.0,638.0
ARG,1988,619.0,653.0,638.0
ARG,1992,619.0,653.0,638.0
ARG,1996,619.0,653.0,638.0
ARG,2000,619.0,653.0,638.0
ARG,2004,619.0,653.0,638.0
ARG,2008,619.0,653.0,638.0
ARG,2012,619.0,653.0,638.0
ARG,2016,619.0,653.0,638.0
ARM,1996,1139.0,1096.0,1098.0
ARM,2000,1139.0,1096.0,1098.0
ARM,2008,1139.0,1096.0,1098.0
ARM,2012,1139.0,1096.0,1098.0
ARM,2016,1139.0,1096.0,1098.0
AUS,1896,223.0,169.0,142.0
AUS,1900,223.0,169.0,142.0
AUS,1904,223.0,169.0,142.0
AUS,1906,223.0,169.0,142.0
AUS,1920,223.0,169.0,142.0
AUS,1924,223.0,169.0,142.0
AUS,1928,223.0,169.0,142.0
AUS,1932,223.0,169.0,142.0
AUS,1936,223.0,169.0,142.0
AUS,1948,223.0,169.0,142.0
AUS,1952,223.0,169.0,142.0
AUS,1956,223.0,169.0,142.0
AUS,1960,223.0,169.0,142.0
AUS,1964,223.0,169.0,142.0
AUS,1968,223.0,169.0,142.0
AUS,1972,223.0,169.0,142.0
AUS,1976,223.0,169.0,142.0
AUS,1980,223.0,169.0,142.0
AUS,1984,223.0,169.0,142.0
AUS,1988,223.0,169.0,142.0
AUS,1992,223.0,169.0,142.0
AUS,1996,223.0,169.0,142.0
AUS,2000,223.0,169.0,142.0
AUS,2004,223.0,169.0,142.0
AUS,2008,223.0,169.0,142.0
AUS,2012,223.0,169.0,142.0
AUS,2016,223.0,169.0,142.0
AUT,1896,833.0,679.0,735.0
AUT,1900,833.0,679.0,735.0
AUT,1904,833.0,679.0,735.0
AUT,1906,833.0,679.0,735.0
AUT,1908,833.0,679.0,735.0
AUT,1912,833.0,679.0,735.0
AUT,1924,833.0,679.0,735.0
AUT,1928,833.0,679.0,735.0
AUT,1932,833.0,679.0,735.0
AUT,1936,833.0,679.0,735.0
AUT,1948,833.0,679.0,735.0
AUT,1952,833.0,679.0,735.0
AUT,1956,833.0,679.0,735.0
AUT,1960,833.0,679.0,735.0
AUT,1968,833.0,679.0,735.0
AUT,1972,833.0,679.0,735.0
AUT,1976,833.0,679.0,735.0
AUT,1980,833.0,679.0,735.0
AUT,1984,833.0,679.0,735.0
AUT,1988,833.0,679.0,735.0
AUT,1992,833.0,679.0,735.0
AUT,1996,833.0,679.0,735.0
AUT,2000,833.0,679.0,735.0
AUT,2004,833.0,679.0,735.0
AUT,2008,833.0,679.0,735.0
AUT,2016,833.0,679.0,735.0
AZE,1996,1010.0,939.0,920.0
AZE,2000,1010.0,939.0,920.0
AZE,2004,1010.0,939.0,920.0
AZE,2008,1010.0,939.0,920.0
AZE,2012,1010.0,939.0,920.0
AZE,2016,1010.0,939.0,920.0
BAH,1956,920.0,976.0,1001.0
BAH,1964,920.0,976.0,1001.0
BAH,1992,920.0,976.0,1001.0
BAH,1996,920.0,976.0,1001.0
BAH,2000,920.0,976.0,1001.0
BAH,2004,920.0,976.0,1001.0
BAH,2008,920.0,976.0,1001.0
BAH,2012,920.0,976.0,1001.0
BAH,2016,920.0,976.0,1001.0
BAR,2000,1275.0,1275.0,1238.0
BDI,1996,1200.0,1249.0,1275.0
BDI,2016,1200.0,1249.0,1275.0
BEL,1900,599.0,453.0,505.0
BEL,1906,599.0,453.0,505.0
BEL,1908,599.0,453.0,505.0
BEL,1912,599.0,453.0,505.0
BEL,1920,599.0,453.0,505.0
BEL,1924,599.0,453.0,505.0
BEL,1928,599.0,453.0,505.0
BEL,1932,599.0,453.0,505.0
BEL,1936,599.0,453.0,505.0
BEL,1948,599.0,453.0,505.0
BEL,1952,599.0,453.0,505.0
BEL,1956,599.0,453.0,505.0
BEL,1960,599.0,453.0,505.0
BEL,1964,599.0,453.0,505.0
BEL,1968,599.0,453.0,505.0
BEL,1972,599.0,453.0,505.0
