,NOC,Year,Medal
0,CHN,1992,
1,CHN,2012,
2,DEN,1920,
3,DEN,1900,Gold
26,NED,1932,
27,NED,1932,
29,FIN,1952,
31,FIN,2000,
32,FIN,1996,
33,FIN,2000,
35,FIN,1912,
36,FIN,1912,
37,FIN,1920,Bronze
38,FIN,1920,Bronze
39,FIN,1924,
41,FIN,1948,Bronze
42,FIN,1948,Gold
43,FIN,1948,
44,FIN,1948,Gold
45,FIN,1948,
46,FIN,1948,
47,FIN,1948,
48,FIN,1948,Gold
49,FIN,1952,
50,FIN,1952,Bronze
51,FIN,1952,
52,FIN,1952,
53,FIN,1952,
54,FIN,1952,
55,FIN,1952,
56,FIN,1952,
57,FIN,2000,
58,FIN,1948,
79,NOR,2008,Gold
80,ROU,2016,
81,NOR,2000,
82,NOR,2004,
86,NOR,1920,Silver
88,NED,1984,
89,NOR,1968,
90,NOR,1972,
91,NED,1988,Bronze
92,NED,1996,Silver
93,NED,2000,
94,EST,1936,
95,NOR,1912,
96,FIN,1992,
97,FIN,1996,
98,FRA,2012,
100,NED,1996,
101,NED,1996,
102,NED,1996,
103,NED,2000,
104,NED,2000,
105,NOR,1996,Bronze
106,NOR,1920,Silver
107,NOR,1912,
108,NOR,1912,
109,NOR,1912,
116,NOR,1920,
117,NOR,1912,Gold
118,NOR,1992,
124,NOR,1936,
125,NOR,1936,
126,NOR,1948,
127,NOR,1952,
128,NOR,1956,
129,NOR,1960,
130,NOR,1920,
131,NOR,1920,
132,NOR,1924,
133,NOR,1928,
134,MAR,2012,
135,EST,2004,
136,EST,2008,
137,EST,1992,
138,EST,1996,
139,ESP,2016,
140,ESP,2016,
141,ESP,2016,
142,ESP,2016,
143,ESP,2016,
144,ESP,2016,
145,FRA,1976,
146,EGY,2000,
147,IRI,1948,
148,ESP,2016,
149,FRA,1956,
150,FRA,1956,Gold
151,BUL,1988,
152,BUL,1924,
153,BUL,1924,
154,BUL,1956,
155,BUL,1960,
156,BUL,1960,
157,BUL,1960,
158,ITA,2016,Bronze
159,ESP,2008,Bronze
160,CHA,1992,
161,AZE,2016,Bronze
162,SUD,1972,
163,RUS,2008,Silver
164,RUS,2012,
165,ARG,2000,
166,ARG,2000,
167,ESP,2008,
168,CUB,2000,
169,CUB,1992,
170,CUB,1992,
171,BLR,2004,
172,BLR,2008,Gold
173,FRA,2008,Gold
174,FRA,2012,Gold
175,FRA,2016,Silver
176,ARG,2012,
177,GRE,2004,
178,CMR,2000,Gold
179,CMR,1968,
180,TUR,1996,
181,CHI,1924,
182,ESP,1996,Gold
183,GRE,2004,
184,MEX,2000,
185,CHI,1992,
186,USA,2004,Silver
187,ESP,1976,
188,ESP,1980,Gold
189,ESP,1984,
190,ESP,1980,
191,ESP,1984,Bronze
192,URS,1964,
193,URS,1980,
194,CHI,1984,
195,RUS,2004,Silver
196,RUS,2004,
197,ITA,2012,
198,ITA,2008,
199,FRA,2004,
200,FRA,2008,Gold
201,CHI,1984,
202,GRE,2004,
203,NCA,2004,
204,NCA,1976,
205,MEX,1968,
206,MEX,1968,
207,MEX,1968,
208,HUN,1992,Silver
209,HUN,1936,
210,HUN,1936,Bronze
211,NGR,1972,
212,EGY,1920,
213,EGY,1928,
214,ITA,1936,Bronze
215,CHA,1972,
216,ALG,2012,
217,ALG,2016,
218,ITA,1988,Gold
219,ITA,1996,Gold
220,ITA,2000,Gold
221,ITA,1984,Gold
222,ITA,1988,Gold
223,ITA,1992,Silver
224,ITA,1996,
225,ITA,1980,
226,ITA,1984,Gold
227,ITA,1988,Gold
228,ITA,1992,Silver
229,KUW,1976,
230,KUW,1976,
231,KUW,1980,
232,BRN,2016,
233,PAK,1996,
234,IRQ,1964,
235,IRQ,2004,
236,KUW,1980,
237,PAK,1992,
238,UAR,1960,
239,EGY,1964,
240,LIB,1988,
241,LIB,1988,
242,EGY,2000,
243,EGY,1952,
244,IRQ,2004,
246,QAT,2004,
247,PAK,2000,
248,PAK,2004,
249,PAK,2012,
